370904
1543454320.0
1
29
11
2018-11-29 01:18:39
America/New_York
Back Bay
Haymarket Square
Lyft
lyft_luxsuv
Lux Black XL
32.5
2.32
1.0
42.3647
-71.0542
38.42
32.45
 Mostly Cloudy 
 Mostly cloudy throughout the day. 
0.0
0.0
0.72
8.41
11.54
1543431600
9.915
42.61
1543438800
37.6
1543489200
36.57
1543438800
32.12
1543478400
 partly-cloudy-night 
30.3
996.92
297
0.77
0
9.915
349.9
1543405936
1543439716
0.72
0.0
1543420800
33.85
1543399200
42.61
1543438800
30.03
1543399200
36.57
1543438800
