name,publisher,vgchartz_score,critic_score,user_score,total_shipped,total_sales,release_date,genre,release_year
Luxor,Activision,7.3,7.2,8.1,5066328.0,340568.42,2005-03-17,Puzzle,2005
Daikaijyuu Monogatari: Miracle of the Zone II,Hudson Soft,7.3,7.2,8.1,5066328.0,340568.42,1999-03-19,Strategy,1999
Akira Psychoball,Atari,7.3,7.2,8.1,5066328.0,340568.42,2002-02-21,Misc,2002
QuadTrix,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-05-08,Puzzle,2009
Monster Hunter World: Iceborne,Capcom,7.3,7.2,8.1,9700000.0,340568.42,2019-09-06,Role-Playing,2019
Ninja Sneaking,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2011-08-27,Platform,2011
Mass Effect 2 ,Electronic Arts,9.5,9.5,8.9,5066328.0,3100000.0,2010-01-26,Role-Playing,2010
Might & Magic Heroes VI - Shades of Darkness,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,2013-05-02,Misc,2013
The Biggest Loser,THQ,7.3,7.7,8.1,5066328.0,1070000.0,2009-10-06,Sports,2009
The Godfather II,Electronic Arts,7.3,7.2,8.1,5066328.0,0.0,2009-04-07,Adventure,2009
The Magical Quest starring Mickey Mouse (weekly jp sales),Capcom,7.3,7.2,8.1,5066328.0,520000.0,1992-12-01,Platform,1992
Zoids: Legacy,Atari,7.3,7.2,8.1,5066328.0,80000.0,2004-09-15,Role-Playing,2004
Dr. Mario: Miracle Cure,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,2015-06-11,Puzzle,2015
Shin Bokura no Taiyou: Gyakushuu no Sabata,Konami,7.3,7.2,8.1,5066328.0,340568.42,2005-07-28,Role-Playing,2005
Trials HD - Big Pack,Microsoft,7.8,9.0,8.1,5066328.0,340568.42,2009-12-30,Misc,2009
Gods Eater Burst,D3 Publisher,7.3,7.1,8.1,470000.0,340568.42,2011-03-15,Action,2011
Mass Effect 3,Electronic Arts,9.4,7.2,8.1,5066328.0,3040000.0,2012-03-06,Role-Playing,2012
Last Escort: Kurochou Special Night,D3 Publisher,7.3,7.2,8.1,5066328.0,340568.42,2006-07-27,Adventure,2006
Goemon: Shin Sedai Shuumei!,Konami,7.3,7.2,8.1,5066328.0,340568.42,2001-12-20,Action,2001
Yu-Gi-Oh! Dark Duel Stories,Konami,7.3,6.2,8.1,5066328.0,830000.0,2002-03-18,Misc,2002
Metal Gear Ac!d 2,Konami,7.3,8.3,8.1,5066328.0,180000.0,2006-03-21,Strategy,2006
Geometry Wars: Retro Evolved 2,Activision,7.3,9.1,8.1,5066328.0,340568.42,2008-07-30,Shooter,2008
Shin Megami Tensei IV Double Hero Pack,Atlus,7.3,7.2,8.1,5066328.0,0.0,2018-04-19,Action,2018
Punch-Out!! Featuring Mr. Dream,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,1990-08-01,Fighting,1990
Homefront 2,THQ,7.3,7.2,8.1,5066328.0,340568.42,2013-12-31,Shooter,2013
Tekken Revolution,Namco Bandai Games,7.3,7.2,8.1,5066328.0,340568.42,2013-06-11,Misc,2013
Driveclub,Sony Computer Entertainment,5.8,7.2,8.1,2000000.0,340568.42,2014-10-07,Racing,2014
Pokémon Mystery Dungeon: Explorers of Sky,Nintendo,7.3,5.7,8.1,1490000.0,340568.42,2009-10-12,Role-Playing,2009
My Spanish Coach,Ubisoft,7.3,7.2,8.1,5066328.0,430000.0,2007-11-06,Misc,2007
theta,Nintendo,7.3,7.2,8.1,5066328.0,10000.0,2007-09-06,Puzzle,2007
TV Calibration,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-02-21,Misc,2009
After Burner: Black Falcon,Sega,7.3,7.4,8.1,5066328.0,10000.0,2007-03-20,Simulation,2007
Ty the Tasmanian Tiger 2: Bush Rescue,Electronic Arts,7.3,7.3,8.1,5066328.0,530000.0,2004-10-12,Platform,2004
Command & Conquer: Generals - Deluxe Edition,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,2003-10-20,Strategy,2003
Deathrow: Underground Team Combat,Ubisoft,7.3,7.2,8.1,5066328.0,60000.0,2002-10-22,Sports,2002
Rally Cross,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,320000.0,1997-01-31,Racing,1997
Capcom Fighting Collection,Capcom,7.3,7.2,8.1,5066328.0,340568.42,2022-06-24,Fighting,2022
Mike Tyson Boxing,Ubisoft,7.3,7.2,8.1,5066328.0,40000.0,2002-03-06,Sports,2002
International Superstar Soccer '98,Konami,7.3,7.2,8.1,5066328.0,600000.0,1998-09-15,Action,1998
Professor Layton and the Last Specter,Nintendo,8.8,8.4,8.1,2060000.0,340568.42,2011-10-17,Adventure,2011
ZhuZhu Babies,Activision,7.3,7.2,8.1,5066328.0,80000.0,2011-11-01,Simulation,2011
Yuu Yuu Hakusho Gaiden,Sega,7.3,7.2,8.1,5066328.0,340568.42,1994-01-28,Role-Playing,1994
Sugar Sugar Rune: Queen Shiken wa Dai Panic,Bandai,7.3,7.2,8.1,5066328.0,10000.0,2006-05-25,Action,2006
Tales of Eternia,Namco,7.3,7.2,8.1,1270000.0,340568.42,2001-09-10,Role-Playing,2001
Hamster Paradise Advance,Atlus,7.3,7.2,8.1,5066328.0,340568.42,2002-07-19,Strategy,2002
Ratchet & Clank,Sony Computer Entertainment,7.3,7.2,8.1,3710000.0,340568.42,2002-11-07,Platform,2002
Imagine: Ice Champions,Ubisoft,7.3,7.2,8.1,5066328.0,160000.0,2009-02-25,Sports,2009
Penguin no Mondai: The World,Konami,7.3,7.2,8.1,5066328.0,100000.0,2010-12-02,Adventure,2010
Gundam: The Battle Master,Bandai,7.3,7.2,8.1,5066328.0,140000.0,1997-06-20,Fighting,1997
SD Gundam G Generation Seed,Bandai,7.3,7.2,8.1,5066328.0,400000.0,2004-02-19,Strategy,2004
Chibi-Robo! Zip Lash,Nintendo,7.3,5.5,8.1,5066328.0,320000.0,2015-10-09,Platform,2015
Ultima Online: Samurai Empire,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,2004-11-02,Role-Playing,2004
Pastry Wars,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2008-11-25,Shooter,2008
Simple 1500 Series Vol. 9: The Chess,D3 Publisher,7.3,7.2,8.1,5066328.0,340568.42,1999-04-22,Strategy,1999
Cricket 2002,EA Sports,7.3,7.2,8.1,5066328.0,340568.42,2002-06-28,Sports,2002
Dragon Booster,Konami,7.3,7.2,8.1,5066328.0,20000.0,2005-12-07,Shooter,2005
Whac-A-Mole,Activision,7.3,7.2,8.1,5066328.0,80000.0,2005-09-21,Puzzle,2005
Monster Hunter 4 Ultimate,Capcom,7.3,8.8,8.1,4200000.0,340568.42,2015-02-13,Role-Playing,2015
Simple Wii Series Vol. 6: The Wai Wai Combat,D3 Publisher,7.3,7.2,8.1,5066328.0,340568.42,2008-02-28,Shooter,2008
Simple 2000 Series Vol. 62: The Super Puzzle Bobble DX,D3 Publisher,7.3,7.2,8.1,5066328.0,340568.42,2004-09-22,Puzzle,2004
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,Sega,7.3,7.2,8.1,1320000.0,340568.42,2021-10-15,Fighting,2021
Sega Classics Arcade Collection (5-in-1),Sega,7.3,7.2,8.1,5066328.0,340568.42,1994-01-01,Misc,1994
The Great Ace Attorney 1 & 2 Special Edition,Capcom,7.3,7.2,8.1,5066328.0,20000.0,2017-08-03,Adventure,2017
Charlie's Angels,Ubisoft,7.3,2.5,8.1,5066328.0,20000.0,2003-07-09,Action,2003
Naruto Shippuden: Ultimate Ninja Storm Collection,Namco Bandai Games,7.3,7.2,8.1,5066328.0,10000.0,2016-02-05,Fighting,2016
Transformers: War for Cybertron -- Decepticons,Activision,7.3,7.2,8.1,5066328.0,120000.0,2010-06-22,Action,2010
Super Columns,Sega,7.3,7.2,8.1,5066328.0,340568.42,1995-06-05,Puzzle,1995
Trials HD,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,2013-03-21,Misc,2013
Super Robot Taisen A Portable,Namco Bandai,7.3,7.2,8.1,5066328.0,180000.0,2008-06-19,Strategy,2008
Crash Team Racing Nitro-Fueled,Activision,7.3,7.2,8.1,5066328.0,340568.42,2019-06-21,Racing,2019
Shanghai: Triple Threat,Activision,7.3,7.2,8.1,5066328.0,340568.42,1995-01-01,Misc,1995
New Super Mario Bros. 2,Nintendo,7.6,7.5,8.1,13410000.0,340568.42,2012-08-19,Platform,2012
Virtua Squad 2,Sega,7.3,7.2,8.1,5066328.0,340568.42,1997-11-30,Shooter,1997
The Oracle,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-08-04,Misc,2009
The Adventures of Gilligan's Island,Bandai,7.3,7.2,8.1,5066328.0,340568.42,1990-07-01,Adventure,1990
de Blob,THQ,7.3,8.1,8.0,700000.0,340568.42,2008-09-22,Platform,2008
Major League Baseball Featuring Ken Griffey Jr,Nintendo,7.3,7.2,8.1,5066328.0,790000.0,1998-05-31,Sports,1998
Buzzer Beater (Zenpen),Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,1999-05-27,Misc,1999
FIFA 99,EA Sports,7.3,7.2,8.1,5066328.0,540000.0,1998-11-30,Sports,1998
Pele's Championship Soccer,Atari,7.3,7.2,8.1,5066328.0,340568.42,1980-01-01,Sports,1980
UnchainBlades ReXX,Atlus,7.3,7.2,8.1,5066328.0,60000.0,2012-12-31,Role-Playing,2012
Mega Man Zero/ZX Legacy Collection,Capcom,7.3,7.2,8.1,5066328.0,340568.42,2020-02-25,Platform,2020
Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,7.3,7.2,8.1,5066328.0,340568.42,2019-03-20,Role-Playing,2019
Mario Strikers Charged,Nintendo,7.3,7.7,8.1,2600000.0,340568.42,2007-07-30,Sports,2007
Monster Hunter Portable 3rd HD Ver.,Capcom,7.3,7.2,8.1,5066328.0,340568.42,2010-12-01,Misc,2010
NCAA Football 13,EA Sports,7.3,7.5,8.1,5066328.0,1110000.0,2012-07-10,Sports,2012
Kaena,Namco,7.3,7.2,8.1,5066328.0,340568.42,2004-04-15,Adventure,2004
Soldier of Fortune II: Double Helix,Activision,7.3,7.2,8.1,5066328.0,230000.0,2003-06-18,Shooter,2003
Pocoro,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-05-04,Puzzle,2009
Total War: WARHAMMER,Sega,7.3,7.2,8.1,2089999.9999999998,340568.42,2016-05-24,Strategy,2016
TwinBee RPG,Konami,7.3,7.2,8.1,5066328.0,340568.42,1998-04-02,Role-Playing,1998
Ultraman Powered,Bandai,7.3,7.2,8.1,5066328.0,340568.42,1994-03-20,Action,1994
Banana Split,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-10-19,Platform,2009
Need for Speed: Shift 2 Unleashed,Electronic Arts,7.3,8.4,8.1,5066328.0,670000.0,2011-03-29,Racing,2011
Alienators: Evolution Continues,Activision,7.3,7.0,8.1,5066328.0,30000.0,2001-11-07,Action,2001
Hasbro Family Game Night: Sorry! Sliders,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,2009-03-18,Misc,2009
Art Style: Rotozoa,Nintendo,9.0,7.2,8.1,5066328.0,340568.42,2010-06-21,Puzzle,2010
LOL Runner,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-10-22,Sports,2009
Jampack Vol. 2,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,530000.0,1997-01-01,Misc,1997
SimCity (2013),Electronic Arts,7.3,7.2,8.1,2000000.0,340568.42,2013-03-05,Simulation,2013
Mat Hoffman's Pro BMX,Activision,7.3,7.2,8.1,5066328.0,540000.0,2001-05-14,Sports,2001
Pimp My Ride,Activision,7.3,7.2,8.1,5066328.0,110000.0,2008-02-19,Racing,2008
Let's TAP,Sega,7.3,7.0,8.1,5066328.0,170000.0,2009-06-16,Misc,2009
Journey Collector's Edition,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2015-09-29,Misc,2015
Super Bomberman: Panic Bomber W,Hudson Soft,7.3,7.2,8.1,5066328.0,340568.42,1995-03-01,Puzzle,1995
Finger Connection,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2010-05-04,Misc,2010
SBK: Snowboard Kids,Atlus,7.3,7.2,8.1,5066328.0,20000.0,2005-11-22,Sports,2005
Alex Rider: Stormbreaker,THQ,7.3,7.2,8.1,5066328.0,340568.42,2006-10-02,Action,2006
Prince of Persia Trilogy,Ubisoft,7.3,8.3,8.1,5066328.0,510000.0,2011-04-19,Action,2011
Dance Dance Revolution Disney Mix,Konami,7.3,7.2,8.1,5066328.0,40000.0,2001-09-17,Simulation,2001
Pac-Land,Atari,7.3,7.2,8.1,5066328.0,340568.42,1992-12-31,Platform,1992
LittleBigPlanet 2: Special Edition,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2011-11-15,Platform,2011
Disney's Mulan,THQ,7.3,7.2,8.1,5066328.0,340568.42,1998-10-01,Platform,1998
Dynamic Country Club,Sega,7.3,7.2,8.1,5066328.0,340568.42,1993-07-16,Sports,1993
Trap Gunner: Countdown to Oblivion,Atlus,7.3,7.2,8.1,5066328.0,30000.0,1998-09-30,Strategy,1998
Budokan: The Martial Spirit,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,1990-01-01,Sports,1990
Kosodate Quiz: My Angel,Namco,7.3,7.2,8.1,5066328.0,340568.42,1997-11-13,Misc,1997
Battlefield 1,Electronic Arts,7.3,9.1,8.1,5066328.0,770000.0,2016-10-21,Shooter,2016
NASCAR SimRacing,EA Sports,7.3,7.2,8.1,5066328.0,340568.42,2005-02-15,Racing,2005
Dragon Money,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2010-10-13,Puzzle,2010
Star Luster,Namco Bandai,7.3,7.2,8.1,5066328.0,340568.42,2008-03-04,Simulation,2008
Dragon Quest Wars,Square Enix,7.3,8.5,8.1,5066328.0,340568.42,2009-09-28,Strategy,2009
Shonen Jump's Shaman King: Master of Spirits,Konami,7.3,7.2,8.1,5066328.0,140000.0,2004-11-09,Role-Playing,2004
Jissen Pachi-Slot Hisshouhou! Onimusha 3,Sega,7.3,7.2,8.1,5066328.0,340568.42,2005-07-14,Misc,2005
Bomberman Hero,Nintendo,7.3,7.2,8.1,5066328.0,470000.0,1998-09-01,Platform,1998
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,Namco Bandai,7.3,7.2,8.1,5066328.0,20000.0,2008-04-03,Adventure,2008
Zombies Hate Aliens!,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2011-07-08,Shooter,2011
Puyo Pop,THQ,7.3,7.2,8.1,5066328.0,50000.0,2002-02-11,Puzzle,2002
Age of Empires II: The Conquerors,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2000-08-24,Strategy,2000
Mega Man Zero Collection,Capcom,7.3,7.5,8.1,5066328.0,310000.0,2010-06-08,Platform,2010
Bust-A-Move Universe,Square Enix,7.3,5.6,8.1,5066328.0,310000.0,2011-03-27,Puzzle,2011
Sing Party,Nintendo,7.3,6.8,8.1,5066328.0,300000.0,2012-11-18,Party,2012
"Freakyforms: Your Creations, Alive!",Nintendo,7.3,7.2,8.1,5066328.0,340568.42,2011-11-10,Action,2011
Dillon's Dead-Heat Breakers,Nintendo,7.3,7.0,8.1,5066328.0,0.0,2018-04-26,Action,2018
Need for Speed Heat,Electronic Arts,6.0,7.2,8.1,5066328.0,340568.42,2019-11-08,Racing,2019
Street Fighter III: Double Impact,Capcom,7.3,8.0,8.1,5066328.0,340568.42,2000-06-19,Fighting,2000
RealSports Soccer,Atari,7.3,7.2,8.1,5066328.0,340568.42,1983-01-01,Sports,1983
Bravely Default: Praying Brage,Square Enix,7.3,7.2,8.1,5066328.0,340568.42,2012-11-01,Role-Playing,2012
Saint Seiya: Typing Ryu Sei Ken,Bandai,7.3,7.2,8.1,5066328.0,340568.42,2003-01-01,Action,2003
Txingurri,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-11-24,Puzzle,2009
Mario Golf,Nintendo,7.3,9.0,8.1,1470000.0,340568.42,1999-06-30,Sports,1999
HappinessCharge PreCure! Kawarun Collection,Namco Bandai Games,7.3,7.2,8.1,5066328.0,30000.0,2014-07-31,Misc,2014
Super Skweek,Atari,7.3,7.2,8.1,5066328.0,340568.42,1991-01-01,Action,1991
Tom Clancy's Rainbow Six: Extraction,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,2020-12-01,Shooter,2020
Imperial SaGa,Square Enix,7.3,7.2,8.1,5066328.0,340568.42,2016-01-01,Role-Playing,2016
Hayate no Gotoku! Boku ga Romeo de Romeo ga Boku de,Konami,7.3,7.2,8.1,5066328.0,340568.42,2007-08-23,Simulation,2007
Bo Jackson's Hit and Run! Baseball and Football,THQ,7.3,7.2,8.1,5066328.0,340568.42,1991-06-01,Sports,1991
Puyo Puyo 7,Sega,7.3,7.2,8.1,190000.0,340568.42,2009-07-30,Puzzle,2009
Fit in Six,Ubisoft,7.3,7.2,8.1,5066328.0,130000.0,2011-03-15,Sports,2011
International Track & Field 2000,Konami,7.3,7.2,8.1,5066328.0,110000.0,1999-10-31,Sports,1999
MechWarrior 2: Ghost Bear's Legacy,Activision,7.3,7.2,8.1,5066328.0,340568.42,1995-11-30,Simulation,1995
Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (FDS),Nintendo,7.3,7.2,8.1,5066328.0,340568.42,1989-05-23,Adventure,1989
Spirit Camera: The Cursed Memoir,Nintendo,6.4,5.7,8.1,5066328.0,250000.0,2012-04-13,Action-Adventure,2012
Hyrule Warriors,Nintendo,7.3,7.2,8.1,5000000.0,340568.42,2014-09-26,Action,2014
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,Nintendo,7.3,7.2,8.1,5066328.0,270000.0,2010-07-15,Strategy,2010
Killzone 3: Steel Rain Map Pack,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2011-04-05,Shooter,2011
Skwug,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-07-27,Platform,2009
Shining Blood,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-09-02,Shooter,2009
WipEout XL,Sony Computer Entertainment,7.3,8.8,8.1,5066328.0,250000.0,1996-09-30,Racing,1996
Invizimals: Shadow Zone,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,300000.0,2011-10-25,Strategy,2011
Tom Clancy's Rainbow Six: Vegas 2,Ubisoft,7.3,8.2,8.1,5066328.0,2420000.0,2008-03-18,Shooter,2008
Paper Mario: Color Splash,Nintendo,7.3,7.4,6.4,5066328.0,870000.0,2016-10-07,Action-Adventure,2016
Cube,D3 Publisher,7.3,7.2,8.1,5066328.0,20000.0,2007-04-30,Puzzle,2007
WWE All Stars,THQ,7.3,7.0,8.1,5066328.0,230000.0,2011-11-22,Action,2011
NERF Arena Blast,Atari,7.3,7.2,8.1,5066328.0,340568.42,1999-11-03,Shooter,1999
Yu-Gi-Oh! 5D's: Duel Transer,Konami,7.3,7.2,8.1,5066328.0,160000.0,2010-12-07,Strategy,2010
Quake Mission Pack No. 2: Dissolution of Eternity,Activision,7.3,7.2,8.1,5066328.0,340568.42,1997-03-31,Shooter,1997
Asonde Igo ga Sara ni Tsuyoku naru!! Ginsei Igo DS Chuukyuuhen,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,2009-06-18,Misc,2009
Black & White,Electronic Arts,7.3,9.3,8.1,2500000.0,340568.42,2001-03-26,Strategy,2001
radiangames Ballistic,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2011-01-28,Shooter,2011
Battlefield 1942: The Road to Rome,Electronic Arts,7.3,8.3,8.1,640000.0,340568.42,2003-02-02,Shooter,2003
Pocket Rurubu Yokohama,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,2009-10-21,Misc,2009
Track & Field II,Konami,7.3,7.2,8.1,5066328.0,340568.42,1989-06-01,Sports,1989
Rapala: We Fish,Activision,7.3,7.2,8.1,5066328.0,570000.0,2009-09-22,Sports,2009
Gretzky NHL 2005,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,170000.0,2004-11-09,Sports,2004
Etrian Odyssey V: Beyond the Myth,Atlus,7.3,7.9,8.1,5066328.0,270000.0,2017-10-17,Role-Playing,2017
Momotaro Dentetsu,Hudson Soft,7.3,7.2,8.1,15500000.0,340568.42,1988-12-02,Board Game,1988
Line of Fire,Sega,7.3,7.2,8.1,5066328.0,340568.42,1991-01-01,Shooter,1991
Assassin's Creed The Ezio Collection,Ubisoft,7.3,7.2,8.1,5066328.0,790000.0,2016-11-15,Action,2016
Final Fantasy X-2: International + Last Mission,Square Enix,7.3,7.2,8.1,5066328.0,290000.0,2004-02-19,Role-Playing,2004
XMAS Taxi,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-11-16,Racing,2009
Sonic Boom: Rise of Lyric,Sega,5.3,3.7,8.1,5066328.0,310000.0,2014-11-11,Action-Adventure,2014
Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,Namco Bandai,7.3,7.2,8.1,5066328.0,70000.0,2010-03-04,Role-Playing,2010
Castlevania:  Symphony of the Night,Konami,7.3,9.3,8.1,5066328.0,340568.42,2007-07-18,Platform,2007
Sub Scan,Sega,7.3,7.2,8.1,5066328.0,340568.42,1982-01-01,Action,1982
Mobile Suit Gundam Seed: Tomo to Kimi to Koko de,Bandai,7.3,7.2,8.1,5066328.0,340568.42,2004-05-13,Action,2004
Tony Hawk's Shred Session,Activision,7.3,7.2,8.1,5066328.0,340568.42,2014-07-01,Misc,2014
Dr. Slump & Arale-Chan,Namco Bandai,7.3,7.2,8.1,5066328.0,10000.0,2008-10-30,Adventure,2008
TrackMania² Valley,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,2013-06-11,Racing,2013
Ben 10: Alien Force,D3 Publisher,7.3,7.2,8.1,5066328.0,950000.0,2008-10-28,Action,2008
Onmyou Taisenki: Byakko Enbu,Bandai,7.3,7.2,8.1,5066328.0,340568.42,2005-03-31,Action,2005
My SAT Coach with The Princeton Review,Ubisoft,7.3,7.2,8.1,5066328.0,110000.0,2008-09-23,Misc,2008
Super Heroine Chronicle,Namco Bandai Games,7.3,7.2,8.1,5066328.0,50000.0,2014-02-06,Misc,2014
Exhibition,Microsoft,7.3,7.2,8.1,5066328.0,250000.0,2002-01-01,Misc,2002
Dora the Explorer: Dance to the Rescue,Atari,7.3,7.2,8.1,5066328.0,0.0,2005-09-25,Action,2005
P.N.03 - Product Number Three,Capcom,7.3,6.3,8.1,5066328.0,80000.0,2003-09-09,Shooter,2003
Super Wing Commander,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,1994-01-01,Simulation,1994
Tennis no Oji-Sama: Saikyou Team o Kessei Seyo!,Konami,7.3,7.2,8.1,5066328.0,340568.42,2004-09-16,Sports,2004
Splatterhouse,Namco Bandai,7.3,7.2,8.1,5066328.0,180000.0,2010-11-23,Action,2010
Gothic II,Atari,7.3,8.0,8.1,200000.0,340568.42,2003-10-28,Role-Playing,2003
Hoshi de Hakken!! Tamagotchi,Bandai,7.3,7.2,8.1,5066328.0,340568.42,1998-02-19,Simulation,1998
Bloodborne,Sony Computer Entertainment,9.3,8.2,8.1,2000000.0,340568.42,2015-03-24,Role-Playing,2015
Mega Man Zero,Capcom,7.3,7.2,8.1,5066328.0,550000.0,2002-09-09,Platform,2002
Disney's Talespin,Sega,7.3,7.2,8.1,5066328.0,340568.42,1993-01-01,Action,1993
Full Spectrum Warrior: Ten Hammers,THQ,7.3,5.5,8.1,5066328.0,70000.0,2006-03-28,Strategy,2006
DRiiFT Mania,Konami,7.3,7.2,8.1,5066328.0,340568.42,2009-09-28,Racing,2009
Combat of Giants: Dinosaurs 3D,Ubisoft,7.3,4.3,8.1,5066328.0,390000.0,2011-03-22,Strategy,2011
The Next Tetris,Atari,7.3,7.2,8.1,5066328.0,810000.0,1999-05-31,Puzzle,1999
Disney's Bonkers: Wax Up!,Sega,7.3,7.2,8.1,5066328.0,340568.42,1995-01-01,Platform,1995
Road Rash 64,THQ,7.3,7.2,8.1,5066328.0,240000.0,1999-08-31,Racing,1999
Dead to Rights,Namco,7.3,7.2,8.1,5066328.0,1360000.0,2002-11-18,Shooter,2002
World Tour Soccer 2003,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,140000.0,2003-02-10,Sports,2003
"Saiyuuki: Kinkaku, Ginkaku no Inbou",D3 Publisher,7.3,7.2,8.1,5066328.0,90000.0,2007-07-12,Role-Playing,2007
Tales of Vesperia,Namco Bandai Games,7.3,7.2,8.1,2880000.0,340568.42,2008-08-26,Role-Playing,2008
Simple 1500 Jitsuyou Series Vol. 16: Neko no Kaikata,D3 Publisher,7.3,7.2,8.1,5066328.0,340568.42,2002-04-18,Misc,2002
Link 'n' Launch,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,2010-02-08,Puzzle,2010
Call of Duty: Modern Warfare Trilogy,Activision,7.3,7.2,8.1,5066328.0,180000.0,2016-05-17,Shooter,2016
Kirby Super Star Ultra,Nintendo,9.0,7.3,8.1,2990000.0,340568.42,2008-09-22,Platform,2008
Ide Yousuke no Kenkuo Mahjong DSi,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,2009-02-25,Puzzle,2009
Mobile Suit Gundam Seed Destiny,Bandai,7.3,7.2,8.1,5066328.0,340568.42,2004-11-25,Fighting,2004
Game Created by a 5th Grader,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-12-16,Action,2009
Outlaw,Atari,7.3,7.2,8.1,5066328.0,340568.42,1978-01-01,Action,1978
Hot Shots Golf Fore!,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,1720000.0,2004-08-17,Sports,2004
Need for Speed: Shift - Ferrari Racing Series,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,2010-02-16,Racing,2010
Virtua Cop Special Pack,Sega,7.3,7.2,8.1,5066328.0,340568.42,1998-02-19,Shooter,1998
Maken X,Atlus,7.3,7.9,8.1,5066328.0,340568.42,1999-10-31,Adventure,1999
Jojo's Fashion Show: Design in a Dash!,Ubisoft,7.3,7.2,8.1,5066328.0,40000.0,2009-01-27,Simulation,2009
Asterix and the Great Rescue,Sega,7.3,7.2,8.1,5066328.0,340568.42,1993-01-01,Platform,1993
Monster Hunter Double Cross,Capcom,7.3,7.2,8.1,1800000.0,340568.42,2017-03-18,Action,2017
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,Konami,7.3,7.2,8.1,5066328.0,80000.0,2011-06-23,Sports,2011
Toaru Majutsu to Kagaku no Ensemble,Namco Bandai Games,7.3,7.2,8.1,5066328.0,30000.0,2013-02-21,Visual Novel,2013
Tom Clancy's Rainbow Six: Rogue Spear,Ubisoft,7.3,7.2,8.1,5066328.0,110000.0,2002-03-18,Shooter,2002
Legend of Legaia,Sony Computer Entertainment,7.3,8.1,8.1,5066328.0,660000.0,1999-03-17,Role-Playing,1999
Sonic Free Riders,Sega,7.3,4.9,8.1,5066328.0,1100000.0,2010-11-04,Racing,2010
Killzone 2,Sony Computer Entertainment,9.1,9.1,9.3,1000000.0,340568.42,2009-02-27,Shooter,2009
Moto Rodeo,Atari,7.3,7.2,8.1,5066328.0,340568.42,1990-01-01,Action,1990
Super Mario 3D World + Bowser's Fury,Nintendo,7.3,7.2,8.1,9430000.0,340568.42,2021-02-12,Platform,2021
Castlevania: Curse of Darkness,Konami,7.3,7.2,8.1,5066328.0,420000.0,2005-11-01,Action,2005
Super Bomberman 2,Hudson Soft,7.3,7.2,8.1,5066328.0,810000.0,1994-09-01,Puzzle,1994
