name,publisher,vgchartz_score,critic_score,user_score,total_shipped,total_sales,release_date,genre,release_year
Mario Sports Mix,Nintendo,5.9,6.0,8.1,1980000.0,340568.42,2011-02-07,Sports,2011
Jurassic Park: Rampage Edition,Sega,7.3,7.2,8.1,5066328.0,340568.42,1994-01-01,Platform,1994
Baja: Edge of Control,THQ,7.3,5.0,8.1,5066328.0,210000.0,2008-09-22,Racing,2008
Luminous Arc 2 (JP sales),Atlus,7.3,7.2,8.1,5066328.0,100000.0,2008-11-18,Role-Playing,2008
Simple 1500 Series Vol. 98: The Futsal,D3 Publisher,7.3,7.2,8.1,5066328.0,340568.42,2002-09-05,Sports,2002
Sports Trivia: Championship Edition,Sega,7.3,7.2,8.1,5066328.0,340568.42,1995-01-01,Misc,1995
Island Xtreme Stunts,Electronic Arts,7.3,7.2,8.1,5066328.0,90000.0,2002-09-22,Action,2002
Tales of Fandom Vol.1,Namco,7.3,7.2,8.1,5066328.0,340568.42,2002-01-31,Role-Playing,2002
From TV Animation One Piece: Mezase Kaizokuou!,Bandai,7.3,7.2,8.1,5066328.0,340568.42,2000-07-19,Adventure,2000
Zone Ranger,Activision,7.3,7.2,8.1,5066328.0,340568.42,1984-01-01,Action,1984
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,Sega,7.3,7.2,8.1,5066328.0,190000.0,2005-12-08,Action,2005
Street Fighter III: 3rd Strike Online Edition,Capcom,8.1,9.3,8.1,5066328.0,340568.42,2011-08-23,Fighting,2011
Classic Text Adventure Masterpieces,Activision,7.3,7.2,8.1,5066328.0,340568.42,1996-01-01,Misc,1996
Call of Juarez: Bound in Blood,Ubisoft,8.0,7.7,8.1,5066328.0,880000.0,2009-06-30,Shooter,2009
Sega Tetris,Sega,7.3,7.2,8.1,5066328.0,340568.42,2000-11-23,Puzzle,2000
PilotWings Resort,Nintendo,6.1,6.9,8.1,5066328.0,960000.0,2011-03-27,Simulation,2011
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,Konami,7.3,7.2,8.1,5066328.0,160000.0,1997-03-20,Sports,1997
Ookami Ichio Funtouki: Sakura Wars Kayou Show - Benitokage Yori,Sega,7.3,7.2,8.1,5066328.0,340568.42,2000-02-24,Misc,2000
One Piece Mansion,Capcom,7.3,7.2,8.1,5066328.0,20000.0,2001-09-30,Action,2001
Mania,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-02-23,Puzzle,2009
The Sims 4: Cats & Dogs,Electronic Arts,7.3,7.2,8.1,5066328.0,210000.0,2017-11-10,Simulation,2017
Jordans Asteroids,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-01-03,Shooter,2009
Dragon Force II: Kamisarishi Daichi ni,Sega,7.3,7.2,8.1,5066328.0,80000.0,1998-04-02,Strategy,1998
Space Harrier (Arcade),Sega,7.3,7.2,8.1,5066328.0,340568.42,2009-06-15,Shooter,2009
Sonic Forces,Sega,7.3,5.4,8.1,5066328.0,740000.0,2017-11-07,Platform,2017
Dragon Age: Origins - Ultimate Edition,Electronic Arts,7.3,7.2,8.1,5066328.0,140000.0,2010-10-12,Role-Playing,2010
Groove Adventure Rave: Hikari to Yami no Daikessen 2,Konami,7.3,7.2,8.1,5066328.0,340568.42,2002-09-26,Action,2002
Theatrhythm Final Fantasy: Curtain Call,Square Enix,7.3,7.2,8.1,5066328.0,410000.0,2014-09-16,Music,2014
Dream Master,Namco,7.3,7.2,8.1,5066328.0,340568.42,1992-09-22,Role-Playing,1992
Lynx Casino,Atari,7.3,7.2,8.1,5066328.0,340568.42,1992-12-31,Strategy,1992
Imagine,Ubisoft,7.3,7.2,8.1,21000000.0,340568.42,2007-10-01,Simulation,2007
Fire Emblem: Thracia 776,Nintendo,7.3,7.2,8.1,120000.0,340568.42,1999-09-01,Strategy,1999
Namco Museum Battle Collection,Namco,7.3,7.9,8.1,5066328.0,1090000.0,2005-08-23,Misc,2005
Game Boy Camera,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,1998-08-01,Misc,1998
Petz Dogz 2,Ubisoft,7.3,7.2,8.1,5066328.0,1100000.0,2007-11-14,Simulation,2007
Dungeons & Dragons: Warriors of the Eternal Sun,Sega,7.3,7.2,8.1,5066328.0,340568.42,1992-01-01,Role-Playing,1992
SingStar Summer Party,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,540000.0,2008-04-25,Misc,2008
Pokémon Heart Gold / Soul Silver Version,Nintendo,8.5,8.6,8.1,12720000.0,340568.42,2010-03-14,Role-Playing,2010
Meet UR Match,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-06-30,Misc,2009
Battle Stuff,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2011-11-28,Action,2011
The Secret Saturdays: Beasts of the 5th Sun,D3 Publisher,7.3,7.2,8.1,5066328.0,150000.0,2009-10-20,Action,2009
Zanac X Zanac,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2010-07-28,Shooter,2010
Madden NFL 22,EA Sports,7.3,7.2,8.1,5066328.0,340568.42,2021-08-20,Sports,2021
Donkey Kong Country 2,Nintendo,7.3,7.6,8.1,5066328.0,1230000.0,2004-11-15,Platform,2004
Devil May Cry 4 Special Edition,Capcom,7.3,7.2,8.1,5066328.0,100000.0,2015-06-23,Action,2015
Heavy Rain Chronicles - Chapter 1: The Taxidermist,Sony Computer Entertainment,7.0,7.3,8.1,5066328.0,340568.42,2010-04-01,Adventure,2010
Shiren the Wanderer,Atlus,7.3,7.4,8.1,5066328.0,190000.0,2010-02-09,Role-Playing,2010
Grobda,Namco Bandai,7.3,7.2,8.1,5066328.0,340568.42,2009-11-10,Shooter,2009
Tales of Destiny 2,Sony Computer Entertainment,7.3,7.2,8.1,1110000.0,340568.42,2002-11-28,Role-Playing,2002
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,Electronic Arts,7.3,7.2,8.1,5066328.0,520000.0,2010-10-05,Simulation,2010
Crisis Beat,Bandai,7.3,7.2,8.1,5066328.0,340568.42,1998-06-18,Action,1998
ZhuZhu Puppies,Activision,7.3,7.2,8.1,5066328.0,170000.0,2011-03-29,Simulation,2011
Are You Smarter than a 5th Grader? Make the Grade,THQ,7.3,7.2,8.1,5066328.0,540000.0,2008-10-20,Misc,2008
Police 24/7,Konami,7.3,7.2,8.1,5066328.0,340568.42,2002-04-12,Shooter,2002
Command & Conquer: Generals - Zero Hour,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,2003-09-22,Strategy,2003
J-League Soccer: Prime Goal,Namco,7.3,7.2,8.1,5066328.0,690000.0,1993-08-06,Sports,1993
Paws & Claws: Regal Resort,THQ,7.3,7.2,8.1,5066328.0,40000.0,2010-07-13,Simulation,2010
Terwilliger,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-04-14,Misc,2009
Dragon's Dogma: Dark Arisen,Capcom,7.3,7.2,8.1,5066328.0,340568.42,2013-04-23,Action,2013
Shinobi,Sega,7.3,7.2,8.1,5066328.0,960000.0,2002-11-10,Action,2002
Sonic Adventure,Sega,7.3,7.2,8.1,2500000.0,340568.42,1999-09-09,Platform,1999
TwinBee,Konami,7.3,7.2,8.1,5066328.0,1200000.0,1986-01-04,Shooter,1986
Super Mario 3D World,Nintendo,9.3,9.5,8.1,5880000.0,340568.42,2013-11-22,Platform,2013
Ski Resort Tycoon II,Activision,7.3,7.2,8.1,5066328.0,340568.42,2001-09-30,Strategy,2001
Phantasy Star,Sega,7.3,7.2,8.1,5066328.0,340568.42,1988-01-01,Role-Playing,1988
Super Power League 4,Hudson Soft,7.3,7.2,8.1,5066328.0,340568.42,1996-08-09,Sports,1996
Bleach: Shattered Blade,Sega,7.3,5.3,8.1,5066328.0,320000.0,2007-10-09,Fighting,2007
Princess Maker: Yumemiru Yosei,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,190000.0,1997-01-24,Strategy,1997
Imagine: Teacher,Ubisoft,7.3,7.2,8.1,5066328.0,1710000.0,2008-08-12,Simulation,2008
Jambo! Safari Animal Rescue,Sega,7.3,7.2,8.1,5066328.0,90000.0,2009-11-17,Simulation,2009
TicTacToe,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-06-06,Misc,2009
Final Fantasy Type-0 HD,Square Enix,7.3,7.2,8.1,1000000.0,340568.42,2015-03-17,Role-Playing,2015
Zork Nemesis,Activision,7.3,7.2,8.1,100000.0,340568.42,1996-02-29,Adventure,1996
Sherlock Holmes: Loretta no Shouzou,Sega,7.3,7.2,8.1,5066328.0,340568.42,1987-02-18,Adventure,1987
Soul Eater: Monotone Princess,Square Enix,7.3,7.2,8.1,5066328.0,20000.0,2008-09-25,Action,2008
MX vs. ATV,Sony Computer Entertainment,7.3,7.2,8.1,10000000.0,340568.42,2001-02-05,Racing,2001
Titanfall 2,Electronic Arts,7.3,8.9,8.1,5066328.0,1720000.0,2016-10-28,Shooter,2016
SingStar NRJ Music Tour,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2004-11-19,Misc,2004
3D Classics: Urban Champion,Nintendo,7.3,2.5,8.1,5066328.0,340568.42,2011-08-18,Fighting,2011
Widget's Odyssey 1 and 2,THQ,7.3,7.2,8.1,5066328.0,340568.42,2012-02-29,Misc,2012
PebbleDash Lite,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-09-08,Action,2009
Felix The Cat,Hudson Soft,7.3,7.2,8.1,5066328.0,340568.42,1993-07-01,Platform,1993
Donkey Konga,Nintendo,7.3,7.3,8.1,1180000.0,340568.42,2004-09-27,Misc,2004
Evolution: Dino Dudes,Atari,7.3,7.2,8.1,5066328.0,340568.42,1994-01-01,Puzzle,1994
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,Namco Bandai Games,7.3,7.2,8.1,5066328.0,20000.0,2016-01-28,Action,2016
Rocky Balboa,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,110000.0,2007-03-13,Sports,2007
Wonder Boy III: The Dragon's Trap,Sega,7.3,7.2,8.1,5066328.0,340568.42,2009-11-09,Adventure,2009
Ronde,Atlus,7.3,7.2,8.1,5066328.0,340568.42,1997-10-30,Role-Playing,1997
FIFA 19,EA Sports,7.3,7.2,8.1,20000000.0,340568.42,2018-09-28,Sports,2018
Rugrats: Time Travelers,THQ,7.3,7.2,8.1,5066328.0,340568.42,1999-11-05,Platform,1999
Invincible Tiger: The Legend of Han Tao,Namco Bandai,7.3,7.2,8.1,5066328.0,340568.42,2009-08-27,Action,2009
Far Cry Instincts Evolution,Ubisoft,7.3,7.2,8.1,5066328.0,80000.0,2006-03-28,Shooter,2006
I-Ninja,Namco,7.3,7.2,8.1,5066328.0,400000.0,2003-11-18,Platform,2003
Dolphin,Activision,7.3,7.2,8.1,5066328.0,290000.0,1983-12-27,Action,1983
LittleBigPlanet 3,Sony Computer Entertainment,7.5,7.2,8.1,5066328.0,2060000.0,2014-11-18,Platform,2014
Littlest Pet Shop: Country Friends,Electronic Arts,7.3,7.2,8.1,5066328.0,250000.0,2009-10-20,Simulation,2009
Aa Harimadana,Sega,7.3,7.2,8.1,5066328.0,340568.42,1993-09-03,Sports,1993
Project Versus J,Namco Bandai Games,7.3,7.2,8.1,5066328.0,340000.0,2015-06-30,Misc,2015
Star Wars: The Empire Strikes Back,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,1993-01-01,Platform,1993
Miami Nights: Singles in the City,Ubisoft,7.3,7.2,8.1,5066328.0,80000.0,2008-01-15,Simulation,2008
Ganbare Goemon: Mononoke Sugoroku,Konami,7.3,7.2,8.1,5066328.0,340568.42,1999-12-16,Misc,1999
Just Dance 2017,Ubisoft,7.3,7.2,8.1,5066328.0,240000.0,2016-10-25,Misc,2016
Hagane no Renkinjutsushi: Omoide no Soumeikyoku,Bandai,7.3,7.2,8.1,5066328.0,340568.42,2004-07-22,Role-Playing,2004
Get Your Girlfriend Into Games,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2010-11-06,Misc,2010
ARC Ninja Edition,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-11-28,Racing,2009
Disney's The Lion King 1 1/2,THQ,7.3,7.2,8.1,5066328.0,340568.42,2003-09-30,Action,2003
Mobile Suit Gundam Seed,Bandai,7.3,7.2,8.1,5066328.0,340568.42,2003-03-15,Action,2003
Road Rash (GBC),Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,2000-11-29,Racing,2000
