nama,harga,penjual,lokasi_toko,terjual,rating
Kerupuk Keriting Palembang,Rp28.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1rb+ terjual,4.9
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR,Rp10.599,Simshop_,Cimahi,40+ terjual,4.8
Kerupuk indosari gado gado dan seblak,Rp25.900,Agen bawang goreng mas YO,Kab. Bogor,100+ terjual,4.9
Bakso Aci Seblak Mie instant baso kekinian halal murah enak,Rp6.999,Maya Light Electro,Tangerang,30+ terjual,4.6
"seblak krupuk 5000 ,pedas dan gurih",Rp4.000,anugrah seblak,Kab. Bandung,1rb+ terjual,4.7
kerupuk seblak extra pedas murah meriah,Rp5.000,RIKI STORE 97,Kab. Bogor,12 terjual,4.7
Kerupuk Seblak 100 gram-Tantaz Snack,Rp6.500,tantaz_Snack,Tangerang Selatan,23 terjual,4.8
KIRIM INSTAN Kerupuk Seblak Orange 250gr,Rp8.780,Sayur Express,Jakarta Selatan,6 terjual,5.0
SEBLAK JELETET MURNI (SEXXY),Rp40.000,Seblak Jeletet Murni,Jakarta Pusat,250+ terjual,4.9
Seblak Basah Instant Mommy,Rp14.000,Cikiku Shop,Tangerang Selatan,9 terjual,5.0
Seblak Kerupuk,Rp12.000,agen produk organik jkt,Jakarta Timur,0,0
"Kerupuk Seblak Pedas 100 Gram, Kerupuk Seblak Daun Jeruk Gurih Renyah - Original Brebes",Rp22.688,Nion.Nion_Official,Tangerang Selatan,20 terjual,4.5
Kerupuk Seblak Kering seblak Daun Jeruk dan seblak kencur Pedas,Rp15.000,Amelia jaya mart,Kab. Tangerang,0,0
kerupuk seblak pedas 1 kg - 1/2 kg,Rp25.500,Bintang Snack & Camilan,Semarang,100+ terjual,5.0
Paket Batagor-Mie Kocok k.y.l Kylafood,Rp51.060,kylafood,Bandung,1rb+ terjual,4.9
Seblak Bandung Jawara Pedas,Rp28.000,AkagamiShanks40,Jakarta Pusat,6 terjual,5.0
SEBLAK KOMPLIT EXTRA PEDAS DENGAN BUMBU SPECIAL,Rp12.500,jsr rempah indonesia,Jakarta Selatan,29 terjual,4.7
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,Rp51.771,Grosir Besar Kalimantan,Banjarbaru,19 terjual,5.0
siomay mini kering 1kg / cuanki / batagor / seblak / bakso aci,Rp29.000,fahirastores,Kab. Bandung Barat,100+ terjual,4.9
1kg GURILEM Siomay Mini bahan Pelengkap Boci seblak dan cuanki,Rp28.615,lahawelah,Kab. Garut,750+ terjual,4.9
cuanki instan/ cuanki bandung/ cemilan bandung/mantap,Rp15.000,RN_Food17,Kab. Bandung,6 terjual,0
Kylafood Basreng pedas kemasan isi 10 pcs,Rp127.880,kylafood,Bandung,15 terjual,5.0
Cuanki lidah murah kiloan isi 150 toping seblak baso aci,Rp33.699,CuankiCulametan,Kab. Garut,100+ terjual,4.9
Basreng Pedas Cikruh Seblak Bantet Cikruh Daun Jeruk Kemasan Ekonomis,Rp2.340,Bang Bana,Kab. Malang,500+ terjual,4.9
Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,Rp31.500,CuankiCulametan,Kab. Garut,50+ terjual,4.6
Kerupuk Seblak Pedas / Kerupuk Seblak Merah,Rp18.000,Snackzone PP,Jakarta Pusat,22 terjual,4.0
Kerupuk mawar putih mentag 250gram / kerupuk ikan / seblak viral,Rp7.000,Semesta kerupuk,Tangerang Selatan,7 terjual,5.0
baso Aci/boci/seblak CUANKI LIDAH KHAS GARUT MURAH isi 100 pcs,Rp39.999,ArfaOnlineShop,Tangerang,6 terjual,5.0
TENS Mie Kremes Seblak / Snack Vegan / Cemilan Sehat 65Gr,Rp11.900,Frozen Mart Jakarta,Jakarta Utara,23 terjual,5.0
seblak kerupuk pedo extra daun jeruk 100gram,Rp5.000,seblak bandung99,Kab. Bandung,100+ terjual,4.8
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Seblak Beton 1kg Pedas Daun Jeruk / Seblak Kerupuk JAAT 1kg ,Rp42.500,D&R-9 collection,Bandung,0,0
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,Rp16.618,Lakoca Official Shop,Cimahi,100+ terjual,4.9
Seblak instant murah,Rp4.900,dapurbulbin,Bandung,0,0
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,Rp61.999,Sajodo Snack & Food,Tasikmalaya,40+ terjual,5.0
Cuanki Tahu Keriting Panjang Topping Baso Aci / Seblak Khas Garut,Rp14.999,Pedas Gilaa,Surabaya,100+ terjual,5.0
Kerupuk seblak merah,Rp18.000,Snackzone KK,Jakarta Selatan,28 terjual,4.9
